,province code,province name
0,110000,北京市
1,120000,天津市
2,130000,河北省
3,140000,山西省
4,150000,内蒙自治区
5,210000,辽宁省
6,220000,吉林市
7,230000,黑龙江省
8,310000,上海市
9,320000,江苏省
10,330000,浙江省
11,340000,安徽省
12,350000,福建省
13,360000,江西省
14,370000,山东省
15,410000,河南省
16,420000,湖北省
17,430000,湖南省
18,440000,广东省
19,450000,广西自治区
20,460000,海南省
21,500000,重庆市
22,510000,四川省
23,520000,贵州省
24,530000,云南省
25,540000,西藏自治区
26,610000,陕西省
27,620000,甘肃省
28,630000,青海省
29,640000,宁夏自治区
30,650000,新疆自治区
31,710000,台湾省
32,810000,香港特区
33,820000,澳门特区
