,id,name,address,location,pname,cityname,adname,tel,type,typecode
0,B0FFI8SIKW,爱玛电动车,文峰街道工农南路前景花苑北门,"120.890335,31.988451",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
1,B0FFIAUUDG,爱玛电动车,秀山西路1076号附近,"121.145157,31.883846",江苏省,南通市,海门市,[],购物服务;专卖店;自行车专卖店|摩托车服务;摩托车维修;摩托车维修,061208|040200
2,B0FFGI83FM,爱玛电动车,汇龙镇人民中路796号,"121.653614,31.812116",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
3,B0FFIYEM73,爱玛电动车,永固路和谐怡园佳苑13幢105门市和谐和谐汇景南门对面,"120.838098,32.051163",江苏省,南通市,港闸区,17696747744,购物服务;专卖店;自行车专卖店,061208
4,B0FFGA3IT2,爱玛电动车,弘江公路与瑞兴路交叉口南150米,"121.001366,31.894913",江苏省,南通市,崇川区,[],购物服务;专卖店;自行车专卖店,061208
5,B0FFG4KDMX,爱玛电动车,康庄路与010县道交叉口东100米,"120.773720,32.444280",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
6,B0FFKW7A30,爱玛电动车,环北中心路附近,"121.115641,32.338994",江苏省,南通市,如东县,[],购物服务;专卖店;自行车专卖店,061208
7,B0FFKUFETV,爱玛电动车,002县道,"120.395007,32.338637",江苏省,南通市,如皋市,[],购物服务;专卖店;自行车专卖店,061208
8,B0FFKQP3G0,爱玛电动车,农民街与汇大线交叉口南100米,"121.672962,31.747045",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
9,B0FFKPZOMC,爱玛电动车,工业路与221省道交叉口西100米,"121.553668,32.059839",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
10,B0FFKPXZS5,爱玛电动车,兴惠街73附近,"121.761229,31.765280",江苏省,南通市,启东市,[],购物服务;专卖店;自行车专卖店,061208
