name,num,citycode,adcode
南通市,333,0513,320600
上海市,279,021,310000
盐城市,241,0515,320900
苏州市,220,0512,320500
潍坊市,191,0536,370700
扬州市,187,0514,321000
宿迁市,185,0527,321300
菏泽市,167,0530,371700
临沂市,166,0539,371300
南京市,164,025,320100
泰州市,156,0523,321200
淮安市,155,0517,320800
天津市,149,022,120000
周口市,148,0394,411600
邯郸市,147,0310,130400
商丘市,140,0370,411400
保定市,139,0312,130600
北京市,139,010,110000
广州市,136,020,440100
阜阳市,130,1558,341200
青岛市,126,0532,370200
济宁市,123,0537,370800
郑州市,122,0371,410100
济南市,118,0531,370100
驻马店市,116,0396,411700
南阳市,115,0377,411300
合肥市,114,0551,340100
聊城市,99,0635,371500
唐山市,99,0315,130200
佛山市,95,0757,440600
无锡市,94,0510,320200
滁州市,92,0550,341100
信阳市,91,0376,411500
亳州市,90,0558,341600
徐州市,88,0516,320300
镇江市,87,0511,321100
石家庄市,87,0311,130100
福州市,85,0591,350100
深圳市,84,0755,440300
邢台市,84,0319,130500
杭州市,82,0571,330100
洛阳市,80,0379,410300
六安市,76,0564,341500
烟台市,76,0535,370600
沧州市,76,0317,130900
廊坊市,76,0316,131000
宁波市,74,0574,330200
嘉兴市,74,0573,330400
常州市,74,0519,320400
东莞市,72,0769,441900
枣庄市,72,0632,370400
连云港市,71,0518,320700
安阳市,71,0372,410500
运城市,71,0359,140800
宿州市,67,0557,341300
德州市,67,0534,371400
濮阳市,65,0393,410900
新乡市,64,0373,410700
开封市,63,0378,410200
太原市,63,0351,140100
赣州市,62,0797,360700
淮南市,62,0554,340400
芜湖市,61,0553,340200
泉州市,59,0595,350500
西安市,55,029,610100
淄博市,53,0533,370300
漳州市,51,0596,350600
马鞍山市,51,0555,340500
海口市,50,0898,460100
中山市,50,0760,442000
蚌埠市,48,0552,340300
成都市,48,028,510100
沈阳市,48,024,210100
襄阳市,46,0710,420600
日照市,46,0633,371100
宣城市,46,0563,341800
武汉市,46,027,420100
许昌市,44,0374,411000
重庆市,44,023,500000
上饶市,40,0793,361100
南宁市,38,0771,450100
宜春市,37,0795,360900
荆州市,37,0716,421000
金华市,37,0579,330700
泰安市,37,0538,370900
临汾市,37,0357,141000
惠州市,36,0752,441300
衡水市,36,0318,131100
池州市,34,0566,341700
南昌市,32,0791,360100
漯河市,32,0395,411100
平顶山市,32,0375,410400
松原市,29,0438,220700
焦作市,28,0391,410800
黄冈市,27,0713,421100
长沙市,26,0731,430100
黄山市,26,0559,341000
滨州市,26,0543,371600
晋城市,26,0356,140500
承德市,26,0314,130800
咸阳市,25,0910,610400
淮北市,25,0561,340600
吉安市,24,0796,360800
威海市,24,0631,371000
湖州市,24,0572,330500
吕梁市,24,0358,141100
昆明市,23,0871,530100
东营市,23,0546,370500
湛江市,22,0759,440800
绍兴市,22,0575,330600
朝阳市,22,0421,211300
株洲市,21,0733,430200
孝感市,21,0712,420900
茂名市,21,0668,440900
长春市,21,0431,220100
秦皇岛市,21,0335,130300
银川市,20,0951,640100
绵阳市,20,0816,510700
钦州市,18,0777,450700
玉林市,18,0775,450900
厦门市,18,0592,350200
温州市,18,0577,330300
安庆市,18,0556,340800
桂林市,16,0773,450300
荆门市,16,0724,420800
盘锦市,16,0427,211100
鞍山市,16,0412,210300
晋中市,16,0354,140700
宜宾市,15,0831,511500
黄石市,15,0714,420200
莆田市,15,0594,350300
锦州市,15,0416,210700
忻州市,15,0350,140900
潜江市,14,2728,429005
中卫市,14,1953,640500
天门市,14,1728,429006
庆阳市,13,0934,621000
永州市,13,0746,431100
常德市,13,0736,430700
台州市,13,0576,331000
葫芦岛市,13,0429,211400
三亚市,12,0899,460200
乐山市,12,0833,511100
自贡市,12,0813,510300
随州市,12,0722,421300
赤峰市,12,0476,150400
四平市,12,0434,220300
长治市,12,0355,140400
来宾市,11,1772,451300
萍乡市,11,0799,360300
百色市,11,0776,451000
呼和浩特市,11,0471,150100
大连市,11,0411,210200
三门峡市,11,0398,411200
武威市,10,1935,620600
酒泉市,10,0937,620900
广安市,10,0826,511600
景德镇市,10,0798,360200
咸宁市,10,0715,421200
铜陵市,10,0562,340700
铁岭市,10,0410,211200
兰州市,9,0931,620100
大理白族自治州,9,0872,532900
揭阳市,9,0663,445200
吉林市,9,0432,220200
张家口市,9,0313,130700
宝鸡市,8,0917,610300
贵阳市,8,0851,520100
凉山彝族自治州,8,0834,513400
柳州市,8,0772,450200
珠海市,8,0756,440400
衡阳市,8,0734,430400
西双版纳傣族自治州,8,0691,532800
丹东市,8,0415,210600
贺州市,7,1774,451100
吴忠市,7,0953,640300
汉中市,7,0916,610700
渭南市,7,0913,610500
曲靖市,7,0874,530300
毕节市,7,0857,520500
德阳市,7,0838,510600
防城港市,7,0770,450600
肇庆市,7,0758,441200
江门市,7,0750,440700
衢州市,7,0570,330800
天水市,6,0938,620500
金昌市,6,0935,620300
雅安市,6,0835,511800
遂宁市,6,0825,510900
达州市,6,0818,511700
梧州市,6,0774,450400
清远市,6,0763,441800
韶关市,6,0751,440200
十堰市,6,0719,420300
白城市,6,0436,220800
辽阳市,6,0419,211000
朔州市,6,0349,140600
平凉市,5,0933,620800
榆林市,5,0912,610800
丽江市,5,0888,530700
万宁市,4,1898,469006
眉山市,4,1833,511400
济源市,4,1391,419001
广元市,4,0839,510800
东方市,4,0807,469007
儋州市,4,0805,460400
乌兰察布市,4,0474,150900
贵港市,3,1755,450800
西宁市,3,0971,630100
固原市,3,0954,640400
白银市,3,0943,620400
定西市,3,0932,621100
保山市,3,0875,530500
红河哈尼族彝族自治州,3,0873,532500
抚州市,3,0794,361000
娄底市,3,0738,431300
恩施土家族苗族自治州,3,0718,422800
鹰潭市,3,0701,360600
德宏傣族景颇族自治州,3,0692,533100
南平市,3,0599,350700
龙岩市,3,0597,350800
舟山市,3,0580,330900
丽水市,3,0578,331100
鄂尔多斯市,3,0477,150600
哈尔滨市,3,0451,230100
阜新市,3,0418,210900
本溪市,3,0414,210500
