,addr,mobile,realname
0,北京市朝阳区东坝乡东坝工业园139号院,13910180812,北京盛发运达商贸有限公司
1,河北省三河市燕郊镇爱玛电动车,13801116210,天津市华威天骄科技有限公司
2,北京市平谷区新平东路15号兴合太电动车自行车超市,13264301023,北京骑迹户外用品店
3,北京市怀柔区南大街10号,13701027679,北京华宇天骄自行车销售中心
4,北京市延庆县东外大街60号蔬菜公司1楼爱玛专卖,15901568930,北京瑞昌顺达商行
5,北京市房山区良乡镇小营村167内2号,13901307646,北京鑫京营昊商贸有限公司
6,安徽省宿州市东外环高架桥北1000米永通电缆厂对面（送货地点，接货人：武勇 手机：15551139002）安徽省宿州市环城南路爱玛专卖店（办公地点）,18655739666,宿州市众源工贸有限公司
7,安徽省宿州市泗县文庙商城西门C1区爱玛电动车专卖店,13955719229,泗县泗州车业有限公司
8,安徽省宿州市砀山县道北310国道爱玛专卖店（砀山教育局对面）,18355718009,砀山县金玛车行
9,安徽省宿州市灵璧县经济开发区凌山路8号,15391891111,灵璧县灵城朱增电动车销售部
10,安徽省宿州市萧县交通路78号,13955756169/15655757788,萧县郝帅爱玛电动车专卖店
11,安徽省淮北市相山区相山路桓谭小区院内爱玛电动车专卖店,15956710059,濉溪县城北祥运车行
12,安徽省亳州市涡阳县胜利东路（涡阳二中对面）,18726808888,涡阳县新日车业有限公司
13,安徽省亳州市蒙城县商城东路三栋10户,18056712529,蒙城县商城东路李伟电动车配件批发部
14,安徽省亳州市利辛县青年路738号,13705683088,利辛县世纪车业有限公司西城分公司
15,安徽省亳州市谯城区希夷大道爱玛专卖店（药都医院对面）,13309677977,谯城区鸿兴车业
16,安徽省蚌埠市固镇县汇合路东200米路南中天车业,15055607700,固镇县城关中远电动车商行
17,安徽省蚌埠市蚌山区光彩大市场,13865690022,蚌埠市腾飞车业有限公司
18,安徽省蚌埠市五河县国防路新天地1008号,13865018668,五河县鸿运电动车销售部
19,安徽省阜阳市颍泉开发区颍泉工业园（阜阳生态园）,15605580708,阜阳汇达贸易有限公司
20,安徽省阜阳市界首市东城开发区,18110534999,界首市飞燕电动车行信义街店
21,安徽省阜阳市阜南县地城北路物资局对面,13030686761,阜南县洋海电动车门市部
22,安徽省阜阳市临泉县解放北大街南段爱玛助力车专卖店,13865851998,临泉县金哲电动车经营部
23,安徽省阜阳市颍上县慎城镇中心西路中段南侧,18110519779,颍上县文清电动车行
24,安徽省阜阳市太和县人民中路朴人商厦路东30米,13965591597,太和县正大电动车经销部
25,安徽省淮南市凤台县烟草局南100米,15305544588,淮南市都成商贸有限公司
26,安徽省淮南市田家庵区国庆东路淮南国际汽配城,15255439999,淮南市大家庭电器有限公司
27,安徽省合肥市国际汽车城汽摩配市场130号,13805514512,合肥全泰商贸有限公司
28,安徽省合肥市肥东县龙泉西路11号,15055183567,肥东县昌顺电动车经营部
29,安徽省合肥市肥西县上派镇新华街爱玛总代理,18715155850,肥西新华车业爱玛电动车销售部
30,安徽省巢湖市庐江县越城中路爱玛专卖,13355650918,庐江县大远车行
31,安徽省安庆市光彩大市场二期三区四幢10、12、14、16号,13966638626,安庆市尚德鸿图商贸有限公司
32,安徽省宿松县人民中路建行对面爱玛专卖店,15922338228,宿松县龚云华
33,安徽省安庆市太湖县法华路,15655606599,太湖县高秀明
34,安徽省安庆市桐城市同安南路爱玛电动车专卖店,13505563099,桐城市项冰电动车经营部
35,安徽省安庆市怀宁县高河镇稼先路,13855679820,怀宁县高河镇爱玛电动车经营部
36,安徽省安庆市怀宁县石牌镇皖河大道8号,13965813968,怀宁县石牌隆鑫摩托车经营部
37,安徽省安庆市岳西县建设西路三车队七八门市部,13956541062,岳西县向东摩配经营部
38,安徽省安庆市枞阳县渡江路129号,18155661899,安庆市开发区何宜萍车行经营部
39,安徽省安庆市潜山县梅城镇天柱山大道18号（县信用联社对面）,13966618588,潜山县爱玛电动车专卖店
40,安徽省安庆市望江县三号路/华阳镇雷阳路263-271号爱玛专卖店,13966911828,望江县王森林车行
41,安徽省六安市皖西大市场,13956115788,六安市裕安区爱玛电动车销售部
42,安徽省六安市舒城县城关镇金源步行街131-135号,18756499333,舒城县城关镇金鼎电动自行车商行
43,安徽省六安市霍邱县城关镇庆发大道林业局楼下,13965476633,安徽省六安市霍邱县刘树威
44,安徽省淮南市寿县南关大圆盘明珠大道1号,15855229333,寿县跃平电动车商行
45,安徽省马鞍山市红旗中路65号,13805551360,马鞍山市长城车业有限公司
46,安徽省当涂县提署西路59号阳光花园小区对面爱玛专卖店,18726035115,当涂县福顺车行
47,安徽省马鞍山市和县滨河大道印象滨河小区3栋S101-S109号爱玛电动车专卖店,15655518882,和县恒信汽车销售有限公司
48,安徽省马鞍山市含山县华阳西路楚园春天小区南大门爱玛专卖店,13865219026,含山县环峰镇百兴电动车经营店
49,安徽省芜湖市弋江区晴云路3号爱玛电动车,13855339666,芜湖市双铭车业
50,安徽省芜湖市南陵县城东恒港假日酒店对过爱玛电动车,15055306988,南陵县天宝电动车销售有限公司
51,安徽省芜湖市繁昌县环城东路爱玛专卖店鑫盛车行,13955379666,繁昌县鑫盛电动车经营部
52,安徽省芜湖市无为县西大街无中宿舍门房,13696768822,无为县路路通车业
53,安徽省芜湖市芜湖县湾沚镇环城南路人民保险公司对面兄弟车行,13955321000,芜湖县城关小林车行
54,安徽省滁州市琅琊区天长西路22号爱玛专卖店,13505553588,滁州市顺安商贸有限公司
55,安徽省来安县城河西路爱玛专卖店,13956289330,来安县雨成车行
56,安徽省天长市石粱东路苏果超市向东爱玛电动车专卖店,18712056253,天长市名玛电动车经营部
57,安徽省全椒县襄水西路爱玛售后服务中心,13805507030,全椒县涌金车业商行
58,安徽省定远县东城路交警大队对面爱玛电动车,13855090658,定远县东南摩托车有限公司
59,安徽省凤阳县府北街46号,13955063389,安徽省胜利车业有限公司
60,安徽省明光市池河大道爱玛专卖店,13505505570,明光市雨露车业
61,安徽省巢湖市老坝河北巷4号,13156530448,巢湖市马翔车业销售有限公司
62,安徽省宣城市宣州区状元路口中山路清风电动车销售有限公司,18905631080,宣城市清风电动车销售有限公司
63,安徽省宣城市绩溪县华阳镇龙川大道112甲号,13731922862,绩溪县风火车行
64,安徽省宣城市泾县泾川镇环城东路27-29号,18605635368,泾县天一电动车销售有限公司
65,安徽省宣城市宁国市津河西路教委对面,13905638292,宁国市宁新车业有限公司
66,安徽省宣城市郎溪县中港路十字路口,13063240388,郎溪县腾飞电动车销售有限公司
67,安徽省宣城市旌德县西门北路爱玛专卖店,15256311633,旌德县诚天电动车车行
68,安徽省宣城市广德县太极大道中段,13905637925,广德县庭洋摩托车行
69,安徽省黄山市延安路58号爱玛专卖,13085596079,黄山良宇车业销售有限公司
70,安徽省黄山市祁门县朝阳花园7号楼107-108号店面,13956279556,祁门县建胜车业
71,安徽省黄山市黟县马道路,13855939869,黟县春发车行
72,安徽省黄山市歙县印象徽州38幢1001－1002号，,13205591861,歙县大兴车行
73,安徽省黄山市徽州区徽州大道,15056682472,黄山市徽州区新红鹰车行
74,黄山市黄山区太平西路,18955915678,黄山市黄山区二子车业有限公司
75,安徽省铜陵市淮河路市政大厦1楼爱玛专卖,13856201708,铜陵市明亚商贸有限责任公司
76,安徽省池州市天帝三业广场电动车超市,13905661462,池州市曹氏电动车销售有限公司
77,福建省龙岩市新罗区安南路东亚商城爱玛专卖店,13605911881,龙岩市乔恩贸易有限公司
78,福建省龙岩市连城县莲峰镇连宁路方圆商住楼7号,13859530518,连城县莲峰春英电动车行
79,福建省龙岩区漳平市菁城街道东环路55号,138506993673,漳平市光俗摩托车行
80,福建省龙岩市长汀县汀州环城东路幸福花园139号,13959088511,长汀县腾飞电动车行
81,福建省三明市永安市雁江南路853号,18960545136,永安市天宇车行
82,福建省三明市大田县均溪镇宝山路144号,13850803299,大田县爱玛车行
83,福建省三明市宁化县工商局一楼爱玛电动车,13960578568,宁化县奇安电动车行
84,福建省三明市泰宁县金湖西路邮政支局1楼,18960507315,泰宁县佳盛车行
85,福建省三明市将乐县古铺镇龟三北路2-7号,15859883576,将乐县阿杰电动车经营部
86,福建省三明市建宁县黄舟坊南路10号,15859851158,建宁县协力车行
87,福建省三明市沙县三官堂三幢12-13号,13950993033,三明宏运贸易有限公司
88,福建省三明市清流县龙津镇长兴北街移动宿舍1楼9号店,18950991155,清流县礼兴盛世摩托车行
89,明溪县雪峰镇北大路38号,18505989669,明溪县城关华达摩托车行
90,福建省尤溪县七五路74号瑞英电动车行,13507573381,尤溪县瑞英电动车行
91,福建省漳州市芗城区东南商贸城C区,18960120999,漳州市运旺电动车有限公司
92,福建省漳州市云霄县宝成路75号,15006080444,云霄县昌舜电动车行
93,福建省漳州市漳浦县交通大酒店对面,18960108088,漳浦县绥安镇鸿毅摩托车配件行
94,福建省漳州市诏安县南诏镇中山西路210号,13960102658,诏安县吴剑敏电动车行
95,福建省漳州市龙海市港尾镇梅市村瑞鸿小区对面,15960672553,龙海市群兴摩托贸易有限公司
96,福建省漳州市龙海市海城镇城隍路转角,15959670285,龙海市海澄品胜车行
97,福建省郑州市平和县北环路119号,13365013888,漳州立鸿工贸有限公司
98,福建省漳州市东山县西浦镇白石街新秀路198号,13459686369,东山县西埔镇秀欣电动车店
99,福建省南平市滨江中路579号,13706008969,南平市延平区王氏自行车店
100,福建省南平市邵武市邮政新村一楼,13860021519,邵武市福达摩托车有限公司
101,福建省南平市建阳市童游街道办事处下马亭路华阳大厦,13860005276,南平市建阳区名途车贸商行
102,福建省南平市光泽县坪山路30号,13859394039,光泽县福达贸易有限公司
103,福建省南平市松溪县工农西路70号,13850920088,松溪县爱玛电动车店
104,福建省南平市顺昌县城南中路15号,13859384687,顺昌县兴旺摩托车商行
