,activeCity,appHotLevel,cityAbbrCode,cityAreaCode,cityEnName,cityId,cityLevel,cityName,cityOrderId,cityPyName,directURL,gLat,gLng,overseasCity,parentCityId,provinceId,scenery,standardEnName,tuanGouFlag
0,True,1,BJ,010,beijing,2,1,北京,404,beijing,,39.904667,116.408198,False,0,1,False,,1
1,True,1,HR,010,huairou,4453,100,怀柔区,2076,huairou,,0.0,0.0,False,2,1,False,huairou,1
2,True,1,MTG,010,mentougou,4454,100,门头沟区,3546,mentougou,,0.0,0.0,False,2,1,False,mentougou,1
3,True,0,MY,010,miyun,434,100,密云区,3612,miyun,,40.3762364,116.8429388,False,2,1,False,,1
4,True,1,PG,010,pinggu,4455,100,平谷区,4014,pinggu,,0.0,0.0,False,2,1,False,pinggu,1
5,True,0,YQ,010,yanqing,435,100,延庆区,6056,yanqing,,40.4669471,115.9889722,False,2,1,False,,1
0,True,1,BD,022,baodi,4462,100,宝坻区,368,baodi,,0.0,0.0,False,10,2,False,baodi,1
1,True,0,JX,022,jixian,436,100,蓟州区,2262,jixian,,0.0,0.0,False,10,2,False,,1
2,True,0,JH,022,jinghai,438,100,静海区,2550,jinghai,,0.0,0.0,False,10,2,False,,1
3,True,0,NH,022,ninghe,437,100,宁河区,3884,ninghe,,0.0,0.0,False,10,2,False,,1
4,True,1,TJ,022,tianjin,10,2,天津,5100,tianjin,,39.120876,117.21503,False,0,2,False,,1
5,True,1,WQ,022,wuqing,4456,100,武清区,5542,wuqing,,0.0,0.0,False,10,2,False,wuqing,1
0,True,0,AG,0312,anguo,499,100,安国市,142,anguo,,38.41845,115.32664,False,29,3,False,,1
1,True,0,AP,0318,anping,524,100,安平县,162,anping,,38.23447,115.51912,False,34,3,False,,1
2,True,0,AX,0312,anxin,512,100,安新县,186,anxin,,38.93535,115.93564,False,29,3,False,,1
3,True,1,BZ,0316,bazhou,489,100,霸州市,314,bazhou,,39.1258,116.39169,False,33,3,False,,1
4,True,0,BX,0319,boxiang,547,100,柏乡县,344,boxiang,,37.48244,114.69342,False,28,3,False,,1
5,True,1,BD,0312,baoding,29,100,保定,382,baoding,,38.873972,115.46463,False,0,3,False,,1
6,True,0,BT,0317,botou,528,100,泊头市,504,botou,,38.08364,116.57828,False,32,3,False,,1
7,True,0,BY,0312,boye,516,100,博野县,538,boye,,38.45766,115.46439,False,29,3,False,,1
8,True,0,CX,0317,cangxian,532,100,沧县,594,cangxian,,38.29602,116.85624,False,32,3,False,,1
9,True,1,CZ,0317,cangzhou,32,100,沧州,598,cangzhou,,38.304449,116.83884,False,0,3,False,,1
10,True,1,CFD,0315,caofeidian,4479,100,曹妃甸区,606,caofeidian,,0.0,0.0,False,25,3,False,caofeidian,1
11,True,0,CL,0335,cangli,477,100,昌黎县,644,changli,,39.71281,119.1627,False,26,3,False,,1
12,True,0,CA,0310,chengan,562,100,成安县,738,chengan,,36.44414,114.66999,False,27,3,False,,1
13,True,1,CD,0314,chengde,31,100,承德,748,chengde,,40.978744,117.943621,False,0,3,False,,1
14,True,1,CDX,0314,chengdexian,469,100,承德县,750,chengdexian,,40.76845,118.17371,False,31,3,False,,1
15,True,0,CC,0313,chicheng,467,100,赤城县,772,chicheng,,40.91298,115.83148,False,30,3,False,,1
16,True,0,CL,0313,chongli,468,100,崇礼区,782,chongli,,40.97457,115.28264,False,30,3,False,,1
17,True,0,CX,0310,cixian,565,100,磁县,822,cixian,,36.37396,114.37392,False,27,3,False,,1
18,True,0,DC,0316,dachang,496,100,大厂回族自治县,860,dachang,,39.88665,116.98951,False,33,3,False,,1
19,True,0,DC,0316,dacheng,494,100,大城县,864,dacheng,,38.70536,116.65359,False,33,3,False,,1
