名称,所在地,所属部门
北京大学,北京市海淀区,教育部
中国人民大学,北京市海淀区,教育部
清华大学,北京市海淀区,教育部
北京航空航天大学,北京市海淀区,工信部
北京理工大学,北京市海淀区,工信部
中国农业大学,北京市海淀区,教育部
北京师范大学,北京市海淀区,教育部
中央民族大学,北京市海淀区,国家民委
南开大学,天津市南开区,教育部
天津大学,天津市南开区,教育部
大连理工大学,辽宁省大连市,教育部
吉林大学,吉林省长春市,教育部
哈尔滨工业大学,黑龙江省哈尔滨市,工信部
复旦大学,上海市杨浦区,教育部
同济大学,上海市杨浦区,教育部
上海交通大学,上海市闵行区,教育部
华东师范大学,上海市闵行区,教育部
南京大学,江苏省南京市,教育部
东南大学,江苏省南京市,教育部
浙江大学,浙江省杭州市,教育部
中国科学技术大学,安徽省合肥市,中国科学院
厦门大学,福建省厦门市,教育部
山东大学,山东省济南市,教育部
中国海洋大学,山东省青岛市,教育部
武汉大学,湖北省武汉市,教育部
华中科技大学,湖北省武汉市,教育部
中南大学,湖南省长沙市,教育部
中山大学,广东省广州市,教育部
华南理工大学,广东省广州市,教育部
四川大学,四川省成都市,教育部
重庆大学,重庆市沙坪坝区,教育部
电子科技大学,四川省成都市,教育部
西安交通大学,陕西省西安市,教育部
西北工业大学,陕西省西安市,工信部
兰州大学,甘肃省兰州市,教育部
国防科学技术大学,湖南省长沙市,中央军委
