名称,所在地,所属部门
北京交通大学,北京市海淀区,教育部
北京工业大学,北京市朝阳区,北京市
北京科技大学,北京市海淀区,教育部
北京化工大学,北京市朝阳区,教育部
北京邮电大学,北京市海淀区,教育部
北京林业大学,北京市海淀区,教育部
北京协和医学院,北京市东城区,国家卫生健康委
北京中医药大学,北京市朝阳区,教育部
首都师范大学,北京市海淀区,北京市
北京外国语大学,北京市海淀区,教育部
中国传媒大学,北京市朝阳区,教育部
中央财经大学,北京市海淀区,教育部
对外经济贸易大学,北京市朝阳区,教育部
外交学院,北京市西城区,外交部
中国人民公安大学,北京市西城区,公安部
北京体育大学,北京市海淀区,国家体育总局
中央音乐学院,北京市西城区,教育部
中国音乐学院,北京市朝阳区,北京市
中央美术学院,北京市朝阳区,教育部
中央戏剧学院,北京市东城区,教育部
中国政法大学,北京市海淀区,教育部
天津工业大学,天津市西青区,天津市
天津医科大学,天津市和平区,天津市
天津中医药大学,天津市南开区,天津市
华北电力大学,北京市昌平区,教育部
河北工业大学,天津市红桥区,河北省
太原理工大学,山西省太原市,山西省
内蒙古大学,内蒙古自治区呼和浩特市,内蒙古自治区
辽宁大学,辽宁省沈阳市,辽宁省
大连海事大学,辽宁省大连市,交通运输部
延边大学,吉林省延边朝鲜族自治州,吉林省
东北师范大学,吉林省长春市,教育部
哈尔滨工程大学,黑龙江省哈尔滨市,工信部
东北农业大学,黑龙江省哈尔滨市,黑龙江省
东北林业大学,黑龙江省哈尔滨市,教育部
华东理工大学,上海市徐汇区,教育部
东华大学,上海市松江区,教育部
上海海洋大学,上海市浦东新区,上海市
上海中医药大学,上海市浦东新区,上海市
上海外国语大学,上海市虹口区,教育部
上海财经大学,上海市杨浦区,教育部
上海体育学院,上海市杨浦区,上海市
上海音乐学院,上海市徐汇区,上海市
上海大学,上海市宝山区,上海市
苏州大学,江苏省苏州市,江苏省
南京航空航天大学,江苏省南京市,工信部
南京理工大学,江苏省南京市,工信部
中国矿业大学,江苏省徐州市、北京市海淀区,教育部
南京邮电大学,江苏省南京市,江苏省
河海大学,江苏省南京市,教育部
江南大学,江苏省无锡市,教育部
南京林业大学,江苏省南京市,江苏省
南京信息工程大学,江苏省南京市,江苏省
南京农业大学,江苏省南京市,教育部
南京中医药大学,江苏省南京市,江苏省
中国药科大学,江苏省南京市,教育部
南京师范大学,江苏省南京市,江苏省
中国美术学院,浙江省杭州市,浙江省
安徽大学,安徽省合肥市,安徽省
合肥工业大学,安徽省合肥市,教育部
福州大学,福建省福州市,福建省
南昌大学,江西省南昌市,江西省
河南大学,河南省开封市,河南省
中国地质大学,湖北省武汉市、北京市海淀区,教育部
武汉理工大学,湖北省武汉市,教育部
华中农业大学,湖北省武汉市,教育部
华中师范大学,湖北省武汉市,教育部
中南财经政法大学,湖北省武汉市,教育部
湖南师范大学,湖南省长沙市,湖南省
暨南大学,广东省广州市,国侨办
广州中医药大学,广东省广州市,广东省
华南师范大学,广东省广州市,广东省
海南大学,海南省海口市,海南省
广西大学,广西壮族自治区南宁市,广西壮族自治区
西南交通大学,四川省成都市,教育部
西南石油大学,四川省成都市,四川省
成都理工大学,四川省成都市,四川省
四川农业大学,四川省成都市,四川省
成都中医药大学,四川省成都市,四川省
西南大学,重庆市北碚区,教育部
西南财经大学,四川省成都市,教育部
贵州大学,贵州省贵阳市,贵州省
西藏大学,西藏自治区拉萨市,西藏自治区
西北大学,陕西省西安市,陕西省
西安电子科技大学,陕西省西安市,教育部
长安大学,陕西省西安市,教育部
陕西师范大学,陕西省西安市,教育部
青海大学,青海省西宁市,青海省
宁夏大学,宁夏回族自治区银川市,宁夏回族自治区
石河子大学,新疆维吾尔自治区石河子市,新疆生产建设兵团
中国石油大学,山东省青岛市、北京市昌平区,教育部
宁波大学,浙江省宁波市,浙江省
中国科学院大学,北京市石景山区,中国科学院
第二军医大学,上海市杨浦区,海军
第四军医大学,陕西省西安市,空军
