,pcode,p,ccode,c,dcode,d
0,110000,北京市,110100,北京市市辖区,110101,东城区
1,110000,北京市,110100,北京市市辖区,110102,西城区
2,110000,北京市,110100,北京市市辖区,110105,朝阳区
3,110000,北京市,110100,北京市市辖区,110106,丰台区
4,110000,北京市,110100,北京市市辖区,110107,石景山区
5,110000,北京市,110100,北京市市辖区,110108,海淀区
6,110000,北京市,110100,北京市市辖区,110109,门头沟区
7,110000,北京市,110100,北京市市辖区,110111,房山区
8,110000,北京市,110100,北京市市辖区,110112,通州区
9,110000,北京市,110100,北京市市辖区,110113,顺义区
10,110000,北京市,110100,北京市市辖区,110114,昌平区
11,110000,北京市,110100,北京市市辖区,110115,大兴区
12,110000,北京市,110100,北京市市辖区,110116,怀柔区
13,110000,北京市,110100,北京市市辖区,110117,平谷区
14,110000,北京市,110100,北京市市辖区,110118,密云区
15,110000,北京市,110100,北京市市辖区,110119,延庆区
16,120000,天津市,120100,天津市市辖区,120101,和平区
17,120000,天津市,120100,天津市市辖区,120102,河东区
18,120000,天津市,120100,天津市市辖区,120103,河西区
19,120000,天津市,120100,天津市市辖区,120104,南开区
20,120000,天津市,120100,天津市市辖区,120105,河北区
21,120000,天津市,120100,天津市市辖区,120106,红桥区
22,120000,天津市,120100,天津市市辖区,120110,东丽区
23,120000,天津市,120100,天津市市辖区,120111,西青区
24,120000,天津市,120100,天津市市辖区,120112,津南区
25,120000,天津市,120100,天津市市辖区,120113,北辰区
26,120000,天津市,120100,天津市市辖区,120114,武清区
27,120000,天津市,120100,天津市市辖区,120115,宝坻区
28,120000,天津市,120100,天津市市辖区,120116,滨海新区
29,120000,天津市,120100,天津市市辖区,120117,宁河区
30,120000,天津市,120100,天津市市辖区,120118,静海区
31,120000,天津市,120100,天津市市辖区,120225,蓟县
32,130000,河北省,130100,石家庄市,130102,长安区
33,130000,河北省,130100,石家庄市,130104,桥西区
34,130000,河北省,130100,石家庄市,130105,新华区
35,130000,河北省,130100,石家庄市,130107,井陉矿区
36,130000,河北省,130100,石家庄市,130108,裕华区
