,id,title,address,coordinate,tel,p,c,d,longitude,latitude
0,0,北京四人行商贸有限公司,北京市东城区张自忠路1-1路(东四十条路口西北),"116.416269,39.933756",13051338457,北京市,北京市市辖区,东城区,116.416269,39.933756
1,1,北京丰裕圣中商贸有限公司(直营),京市崇文区天坛东路64号新日电动车专卖,"116.421288,39.879475",13910997358%uFF1B13121465573,北京市,北京市市辖区,东城区,116.421288,39.879475
2,2,北京晨诚和平里自行车商店,北京市朝阳区北三环和平里桥南300米路东(和平里店),"116.41772,39.962665",13910744728,北京市,北京市市辖区,东城区,116.41772,39.962665
3,3,北京市赵公口桥新日专卖店,北京市赵公口桥北景泰路88号,"116.413765,39.863064",18911595166,北京市,北京市市辖区,东城区,116.413765,39.863064
4,4,北京东城区景泰西里李圈圈(直营),北京市东城区景泰西里11号楼101室东侧约50米,"116.413579,39.862455",13240070836,北京市,北京市市辖区,东城区,116.413579,39.862455
5,5,东营开发区荣腾电瓶批发部淮河路店(直营),东城区淮河路安慧文化城B座,"116.416357,39.928353",18865977317,北京市,北京市市辖区,东城区,116.416357,39.928353
6,6,白云路新日专卖店,北京市西城区白云路云起时珍宝花园Ａ１－９,"116.342481,39.901288",13466766356,北京市,北京市市辖区,西城区,116.342481,39.901288
7,7,北京缘帮服装服饰有限责任公司五金交电分公司,北京市西城区平安大道育教胡同15号,"116.36595,39.932614",18911667282,北京市,北京市市辖区,西城区,116.36595,39.932614
8,8,北京路亿宝商贸中心,北京市西城区德胜门内大街186号,"116.379442,39.940084",13641262327,北京市,北京市市辖区,西城区,116.379442,39.940084
9,9,北京千禧神风自行车商店,北京市西城区新街口南大街113号神风自行车店,"116.372688,39.936575",13701173675%uFF1B13811598548,北京市,北京市市辖区,西城区,116.372688,39.936575
10,10,北京陶然利华商贸中心(直营),北京市宣武区南建路3-5号,"116.365868,39.912289",18911667258%uFF1B13701128877,北京市,北京市市辖区,西城区,116.365868,39.912289
11,11,北京世纪新日商贸中心,北京市宣武区骡马市大街路北32-2号,"116.378213,39.88936",13641130766,北京市,北京市市辖区,西城区,116.378213,39.88936
12,12,博乐市新日诚信车行(直营),博乐市北京北路（天祥国际建材市场2-1-8号）,"116.31752,39.792867",15299755511,北京市,北京市市辖区,西城区,116.31752,39.792867
13,13,天桥新日,天桥街道,"116.39668777585032,39.88095738471549",13775862638,北京市,北京市市辖区,西城区,116.39668777585032,39.88095738471549
14,14,天桥新日,天桥街道,"116.39679104089737,39.88108808467193",18301269855,北京市,北京市市辖区,西城区,116.39679104089737,39.88108808467193
15,15,北京世纪贵斌商贸有限公司,北京市朝阳区劲松五区公园西门往北10米,"116.451341,39.882833",13718568913,北京市,北京市市辖区,朝阳区,116.451341,39.882833
16,16,北京慕洲商贸中心,北京市朝阳区老君堂村5排9号,"116.509304,39.8395",13051996308,北京市,北京市市辖区,朝阳区,116.509304,39.8395
17,17,北京胤祥耀杰电动自行车商店,北京市朝阳区双桥中路东郊市场内,"116.584609,39.892486",13269181821%uFF1B13301192727,北京市,北京市市辖区,朝阳区,116.584609,39.892486
18,18,北京华顺福财商贸中心,北京市朝阳区朝阳路高井财满街建行东侧(新日电动车专卖店),"116.585339,39.914009",18611850189,北京市,北京市市辖区,朝阳区,116.585339,39.914009
19,19,北京腾龙大地恒通摩托车经销有限公司,北京市朝阳区来广营东路甲1号新日电动车（善各庄铁道东500米）,"116.477174,40.0229",13683232628%uFF1B13911601218,北京市,北京市市辖区,朝阳区,116.477174,40.0229
20,20,北京春刚电动车销售有限公司,北京市朝阳区平房乡石各庄村482号对面,"116.564437,39.938707",13146171921,北京市,北京市市辖区,朝阳区,116.564437,39.938707
