,code,name,address,tel,gps,level,openTime,isClose,pcode,ccode,dcode,p,c,d,longitude,latitude
0,A0010015F43,天坛东门雅迪,东城体育馆路,13811011982,"116.428847,39.89034",二网,8：00-19：00,1,110000,110100,110101,北京市,北京市市辖区,东城区,116.428847,39.89034
1,A0010015F42,安定门雅迪,安定门内大街,18518088757,"116.414589,39.953477",二网,8：00-19：00,1,110000,110100,110101,北京市,北京市市辖区,东城区,116.414589,39.953477
2,A0010015F44,东四十条雅迪,东城区东四十条109号,18611605867,"116.427336,39.939983",二网,8：00-19：00,1,110000,110100,110101,北京市,北京市市辖区,东城区,116.427336,39.939983
3,A0010015F49,白纸坊雅迪,西城区广外鸭子桥北里10号楼,18911667388,"116.355374,39.883962",二网,8：00-19：00,1,110000,110100,110101,北京市,北京市市辖区,东城区,116.355374,39.883962
4,A0010015F46,赵登禹路雅迪,赵登禹路交通队对面,13601302282,"116.373788,39.934303",二网,8：00-19：00,1,110000,110100,110102,北京市,北京市市辖区,西城区,116.373788,39.934303
5,A0010015F45,宽街雅迪,东城区地安门西大街,13051031299,"116.412297,39.940005",二网,8：00-19：00,1,110000,110100,110102,北京市,北京市市辖区,西城区,116.412297,39.940005
6,A0010015F47,天宁寺雅迪,西城天宁寺东里11号,18301400569,"116.353248,39.899853",二网,8：00-19：00,1,110000,110100,110102,北京市,北京市市辖区,西城区,116.353248,39.899853
7,A0010015F52,阜成门雅迪,阜成门外大街22号楼,13520395552,"116.351485,39.928069",二网,8：00-19：00,1,110000,110100,110102,北京市,北京市市辖区,西城区,116.351485,39.928069
8,A0010015F53,南横东街雅迪,南横东街街道,18911667257,"116.388423,39.889929",二网,8：00-19：00,1,110000,110100,110102,北京市,北京市市辖区,西城区,116.388423,39.889929
9,A0010015F48,陶然亭雅迪,西城区陶然亭公园北门南,13161185463,"116.393874,39.886191",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.393874,39.886191
10,A0010015F83,云岗南宫雅迪,丰台区王佐乡南宫商业街73-75-76,13581625787,"116.162215,39.813824",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.162215,39.813824
11,A0010015F84,横街子雅迪,朝阳区十八里店乡横街子邮局对面,13521753303,"116.513892,39.833165",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.513892,39.833165
12,A0010015F85,垡头天宝雅迪,朝阳区垡头天宝旧货市场,13691034030,"116.516872,39.876313",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.516872,39.876313
13,A0010015F86,和平里雅迪,朝阳区和平西街8区1号楼1-7,13120233650,"116.42515,39.968969",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.42515,39.968969
14,A0010015F87,大鲁店雅迪,朝阳区大鲁店富力又一城底商,13552669795,"116.570213,39.85158",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.570213,39.85158
15,A0010015F88,双井雅迪,朝阳区广渠门外马圈公交站,18910681669,"116.460317,39.899544",二网,8：00-19：00,1,110000,110100,110105,北京市,北京市市辖区,朝阳区,116.460317,39.899544
